& al.	et al.
'90s	90s
'stache	stache
'neath	beneath
'struth	strewth
'omics	omics
'80s	80s
'til	till
'roided out	roided out
'tache	tache
'ologist	ologist
'40s	40s
'ey up	hey up
'Strayan	Strayan
'aporth	ha'p'orth
'ard	hard
'midst	amidst}}
'50s	50s
'tend to one's knitting	stick to one's knitting
'Vette	Vette
'droid	droid
'keet	keet
'rickshaw	rickshaw
'member	member
'fridge	fridge
'30s	30s
'20s	20s
'long	long
'fess up	fess up
'longst	alongst
'60s	60s
'appen	happen
'hon	hon#Etymology 2
'tard	tard
'eid	Eid
'00s	00s
'zactly	'zackly
'ad	had
'roid	roid
'ead	head
'70s	70s
'tween	tween
'sdain	sdeign
'roid rage	roid rage
'coz	'cause
'burb	burb
'pataphysics	pataphysics
++good	double-plus-good
++ungood	double-plus-ungood
-00s	00s
-erization	erization
0d	0D}}
00's	00s
0-day	zero-day
1990's	1990s
1000 metre	1000-metre
10x	thanks
14er	fourteener
1940's	1940s
1980's	1980s
10Base5	10BASE5
1-on-1	one-on-one
1000-meter	1000-metre
12th grade	twelfth grade
1st grade	first grade
11th grade	eleventh grade
1,000-metre	1000-metre
100's	100s
1337	leet
1910's	1910s
1000 meter	1000-metre
110%	a hundred and ten percent
10th grade	tenth grade
11th hour	eleventh hour
100%	one hundred percent
100 meter dash	100-meter dash
1,000 meter	1000-metre
1950's	1950s
1920's	1920s
1970's	1970s
1930's	1930s
1960's	1960s
2moz	tomorrow
2nd grade	second grade
29er	twenty-niner
2-dimensional	two-dimensional
2-up	two-up
20's	20s
30's	30s
3-card monte	three-card monte}}
360 no-scope	360 noscope
3-revert rule	three-revert rule
3/4 sibling	three-quarter sibling
3/4 brother	three-quarter brother
3-dimensional	three-dimensional
3/4 sister	three-quarter sister
3 card monte	three-card monte}}
3-on-the-tree	three-on-the-tree
360 no scope	360 noscope
4-on-the-floor	four-on-the-floor
4/20	420
4:20	420
40's	40s
4-dimensional	four-dimensional
4rum	forum
4th grade	fourth grade
419er	419 scammer
4-foot	four foot
4-1-1	411}}
5 o'clock shadow	five o'clock shadow
50's	50s
5th grade	fifth grade
50/50	fifty-fifty
50-50	fifty-fifty
6th grade	sixth grade
60's	60s
69er	sixty-niner
6ix	six
69	sixty-nine
6-foot	six foot
7 and 7	seven and seven
7s	sevens}}
7up	7 Up
70's	70s
7th grade	seventh grade
7th art	seventh art
8514	8514/A}}
8th grade	eighth grade
8514/Adapter	8514/A
80's	80s
9-to-5	9 to 5
9/10ths	nine-tenths
90's	90s
9th grade	ninth grade
911	9-1-1
@55	ass
avisandum	avizandum
ahh	aah
alexipharmakon	alexipharmacon
after-stroke	afterstroke}}
avenor	avener
all-nite	all-night}}
antihaemorrhagic	antihemorrhagic
adenosinetriphosphate	adenosine triphosphate
attend to one's knitting	stick to one's knitting
Abram work	Abraham work
aigret	aigrette
apanthropinization	apanthropinisation
alquifoux	alquifou
ancona	ancon
abbaye	abbey
after-cost	aftercost
anticatarrhal	anti-catarrhal
airbase	air base
anorexy	anorexia
acathist	akathist
answer phone	answerphone
assay-dish	assay dish
abstractor	abstracter
ass backwards	ass-backwards
amphidextrous	ambidextrous
aeriate	aerate
aerosolizer	aerosoliser
antidrugs	antidrug
alod	allod
anti-religious	antireligious
anti-shock	antishock
auto-de-fé	auto-de-fe
anti-Gentileism	anti-Gentilism
amenorrheic	amenorrhoeic
affulgence	effulgence
asham'd	ashamed
arrack	arak
agida	agita
arles	earles
appraising	apprising
ambergreace	ambergris
abattised	abatised
acanthaesthesia	acanthesthesia
apoplectical	apoplectic
axiscylinder	axis cylinder
anti-hero	antihero
assafoetida	asafoetida
above-line	above the line
Austro-Slavism	Austroslavism
arthroscopical	arthroscopic
angpao	ang pow
atchoo	achoo
arachnitis	arachnoiditis
Americaphobe	Americophobe
aieee	aiee
alcahest	alkahest
apokron	apokrone
acratically	akratically
anti-union	antiunion
arylsulphotransferase	arylsulfotransferase
arch rival	archrival
arbanne	Arbane
antiparkinson	antiparkinsonian
abelmusk	abelmosk
assagai	assegai
