sample,signif,r
sample_1,1,-0.04964443
sample_2,1,-0.0322901
sample_3,1,-0.03171086
sample_4,1,-0.02482671
sample_5,1,-0.02028511
sample_6,1,-0.02183873
sample_7,0.985015,-0.01384928
sample_8,0.963037,-0.01386228
sample_9,1,-0.02825391
sample_10,0.998002,-0.01920167
sample_11,1,-0.02506411
sample_12,0.984016,-0.01688678
sample_13,1,-0.03499757
sample_14,1,-0.02818529
sample_15,1,-0.02166049
sample_16,1,-0.03348335
sample_17,1,-0.02388588
sample_18,0.994006,-0.01801677
sample_19,1,-0.02281504
sample_20,1,-0.03592726
sample_21,0.998002,-0.02410049
sample_22,1,-0.03469939
sample_23,0.972028,-0.01577087
sample_24,1,-0.02126396
sample_25,1,-0.025085
sample_26,1,-0.03856237
sample_27,0.999001,-0.02281897
sample_28,1,-0.01665736
sample_29,1,-0.03608507
sample_30,1,-0.03056657
sample_31,0.999001,-0.02664767
sample_32,1,-0.04277074
sample_33,1,-0.03646349
sample_34,1,-0.03339802
sample_35,1,-0.03145186
sample_36,1,-0.03202365
sample_37,0.997003,-0.02675403
sample_38,0.993007,-0.01733456
sample_39,1,-0.02747809
sample_40,0.9340659,-0.008638725
sample_41,1,-0.03012825
sample_42,1,-0.04819007
sample_43,1,-0.02345848
sample_44,1,-0.03181442
sample_45,1,-0.03069039
sample_46,1,-0.03288945
sample_47,1,-0.02744109
sample_48,0.998002,-0.01770873
sample_49,1,-0.01959384
sample_50,1,-0.03341922
sample_51,0.967033,-0.01535698
sample_52,1,-0.03715676
sample_53,1,-0.02611063
sample_54,1,-0.03214488
sample_55,0.977023,-0.01663212
sample_56,1,-0.02985228
sample_57,1,-0.03415938
sample_58,1,-0.01709629
sample_59,1,-0.03434023
sample_60,1,-0.04210692
sample_61,0.995005,-0.01522573
sample_62,0.981019,-0.01696624
sample_63,0.999001,-0.02265939
sample_64,0.999001,-0.02454134
sample_65,1,-0.03067204
sample_66,0.961039,-0.01093807
sample_67,1,-0.02886423
sample_68,1,-0.03112538
sample_69,1,-0.02883666
sample_70,0.998002,-0.01644623
sample_71,1,-0.03063728
sample_72,1,-0.04260505
sample_73,0.995005,-0.01504213
sample_74,1,-0.05009183
sample_75,1,-0.05208878
sample_76,0.998002,-0.02025089
sample_77,1,-0.03117589
sample_78,1,-0.03380203
sample_79,0.998002,-0.0218109
sample_80,0.991009,-0.01762127
