backtests	backtest
beblowing	beblow
beshares	beshare
bog-orchid	bog orchid
bleeding dry	bleed dry
barraged	barrage
bobbed wire	barbed wire
buccaniered	buccanier
blackens	blacken
beclamming	beclam
bellicous	bellicose
builds up	build up
buskles	buskle
bragged on	brag on
befouls	befoul
buskled	buskle
bolting	bolt
beggeth	beg
bringing	bring
bobbittise	Bobbittise
brushing down	brush down
beslimed	beslime
broiled	broil
butylating	butylate
beslimes	beslime
bitches off	bitch off
best-intentioned	well-intentioned
bescorns	bescorn
bears out	bear out
BED	binge eating disorder
bilging	bilge
BEP	break-even point
BEV	battery electric vehicle
bravadoing	bravado
boozes up	booze up
bonused	bonus
bittorrent	BitTorrent
bronzened	bronzen
burning plasma	burning nuclear plasma
beckoneth	beckon
bowsing	bowse
bows out	bow out
betoiling	betoil
blesseder	blessed
behested	behest
brainwashed	brainwash
bestreaking	bestreak
brainwashes	brainwash
boobytrapping	boobytrap
bobbaring	bobbar
beworking	bework
blobbing out	blob out
brandisht	brandish
besets	beset
brought	bring
begazing	begaze
brefaldin	brefeldin
beclouds	becloud
blobbier	blobby
blathers	blather
bodily-fluid	bodily fluid
blahed	blah
bolth	both
bo't	bought
binds on equip	bind on equip
befroze	befreeze
boogied down	boogie down
beats the bishop	beat the bishop
backchatted	backchat
blankened	blanken
berobbed	berob
blustering	bluster
burneth	burn
breezening	breezen
bayting	bayt
blecking	bleck
boldfaces	boldface
breese	breeze
bitterest	bitter
bassing	bass
bejuggled	bejuggle
boldfaced	boldface
blarneyed	blarney
blossomest	blossom
bcc'ed	bcc
bowling over	bowl over
broken one's lance	break one's lance
bare-metal	bare metal
barrel jumped	barrel jump
backpedaled	backpedal
breaks off	break off
backflipped	backflip
burned the candle at both ends	burn the candle at both ends
bullocked	bullock
best-behaved	well-behaved
beeping	beep
beginneth	begin
burninating	burninate
babyproofs	babyproof
blackeneth	blacken
bugling	bugle
begumming	begum
breakpointing	breakpoint
bootstrapped	bootstrap
bowlder	boulder
breastroke	breaststroke
bewielding	bewield
bulletizing	bulletize
bankrupts	bankrupt
burnt down	burn down
bucks up	buck up
body-surfing	body-surf
braises	braise
braised	braise
befalling	befall
blunges	blunge
Batmanning	Batman
bioconverted	bioconvert
blushes	blush
Burtonized	Burtonize
bangs around	bang around
Bitchzilla	bitchzilla
belaved	belave
bewept	beweep
BBQed	BBQ
Burtonizes	Burtonize
blushed	blush
borns	born
blinder	blind
bornt	born
bowle	bowl
blinded	blind
borne	bear
bitchier	bitchy
brocading	brocade
business-deal	business deal
besteth	best
bleddest	bleed
battalioning	battalion
bilked	bilk
bepelts	bepelt
bleches	blech
Burgonian	Burgundian
buffling	buffle
befleaing	beflea
backshifted	backshift
bleched	blech
betrimming	betrim
bates	bate
bepommelling	bepommel
bated	bate
breaks one off	break one off
brutalises	brutalise
besitten	besit
behaviourist	behaviorist
bedribbles	bedribble
behaviourism	behaviorism
bedribbled	bedribble
bitten	bite
bouldering	boulder
befrilling	befrill
backrolling	backroll
banged about	bang about
brusquest	brusque
betwynding	betwynde
buycotting	buycott
buffier	buffy
bushwhacking	bushwhack
begiving	begive
bethought	bethink
big phat	Nonstandard form
bacteriovory	bacterivory
boused	bouse
bemocks	bemock
belauding	belaud
benets	benet
beakiest	beaky
blocked up	block up
bouser	boozer
bouses	bouse
brings about	bring about
biffs	biff
banged to rights	bang to rights
banjaxing	banjax
blasphemes	blaspheme
boxed out	box out
blasphemed	blaspheme
balled up	ball up
beclumpsing	beclumpse
broods	brood
believest	believe
boondocked	boondock
blottiest	blotty
benighted	benight
brawns	brawn
begemming	begem
bonneting	bonnet
bemoysten	bemoisten
bielding	bield
broodingest	brooding
BIID	body integrity identity disorder
brandles	brandle
breaks the bank	break the bank
bourgeoisifying	bourgeoisify
blackmailed	blackmail
befruits	befruit
bogs down	bog down
beachballing	beachball
befringed	befringe
breaking up	break up
braying	bray
befringes	befringe
bemoistening	bemoisten
bisexualizes	bisexualize
braising	braise
bureaucratizing	bureaucratize
bamboshes	bambosh
benificial	beneficial
bisexualized	bisexualize
bamboshed	bambosh
brogued	brogue
bullshitted	bullshit
beslippered	beslipper
boysterous	boisterous
bigboob	big-boob
bological	biological
bached	bach
blottoing	blotto
bernacle	barnacle
belongeth	belong
blistered	blister
buyest	buy
blanched	blanch
