basipod	basipodite
black finger crab	reef crab
brassic acid	docosadienoic acid
bee bite	bee sting
barony	hundred
bride token	bride price
batholite	batholith
bradyrhythmia	bradycardia
boudoir piano	upright piano
bathyorographic	bathyorographical
build upon	build on
barochamber	hyperbaric chamber
bean slot	bean chute
bat ear	otapostasis
big deuce	big two}}
bakestone	Welshcake
boardercross	snowboard cross}}
bipyrazyl	bipyrazine
bar graph	bar chart
bluegrass jazz	bluegrass-jazz
butter-and-egger	butter-and-egg man
bare-boobed	bare-breasted
blow one's cork	pop one's cork
businessman's special	businessman's trip
bokke	sea raven
Brunton	Brunton compass
bioprospection	bioprospecting
battleship curve	battleship-shaped curve
brachycardia	bradycardia
bilharziasis	schistosomiasis
booklore	book-learning
Brahminy duck	ruddy shelduck
businessman's lunch	businessman's trip
bleeding hell	bloody hell
bargain bucket	bargain bin
blooming hell	bloody hell
bilobulate	bilobular
box joint	finger joint
bumblebee bat	Kitti's hog-nosed bat
beard lichen	old man's beard
brûlée	crème brûlée
bionergy	bioenergy
banate	banat
bastion forest	red forest
barbituratism	barbiturism
Brabantine	Brabantian
banyalla	waddywood
ballistoconidium	ballistospore
butler steak	flat iron steak
bisphosphorylated	diphosphorylated
Bhattacharyya distance	Hellinger distance
Babbitt metal	babbitt
blind as an owl	blind as a bat
bow harp	arched harp
Bobbitt procedure	emasculation
boob augmentation	breast augmentation
butt-munching	anilingus
Behçet's syndrome	Behçet's disease
boob reduction	breast reduction
blow it out one's ear	blow it out one's ass
bradyglossia	bradyarthria
benzopinacone	benzopinacol
binding agent	binder
biomonitorization	biomonitoring
Brownian movement	Brownian motion}}
beef-brained	beef-witted
buprinex	buprenorphine
bunny grass	Easter grass
butylic	butyl
boob-sling	bra
biofermentation	fermentation
bishydroxycoumarin	dicumarol
beautism	lookism
balsam of Gilead	balm of Gilead
brachygnathia	micrognathism
bovate	oxgang
bronchoconstricting	bronchoconstrictive
bucket of sunshine	barrel of sunshine
bioastronomy	astrobiology
bioamplification	biomagnification}}
bathymodiolid	bathymodiolin
butternut pumpkin	butternut squash
bassooner	bassoonist
benzanthrene	benzanthracene
badassitude	badassery
blow with the wind	go with the flow
bilipidic	bilipid
brachyuranic	brachyuran
banjitar	guitjo
biocrude	bio-oil
Blue	British Blue
boob envy	breast envy
Beijing opera	Peking opera
bed of down	bed of roses
biodeme	deme
brayera	kousso
bummed	bummed out
bargander	shelduck
bongkrekic acid	bongkrek acid
bradykininogen	kallidin
bismer	steelyard
bovine petechial fever	petechial fever
baicai	bok choy
bursage	burrobrush
Bohm interpretation	Bohmian mechanics}}
bettererer	better
bronchiae	bronchia
blue-throated goldentail	blue-throated sapphire
bum burp	bottom burp
bum deal	raw deal
bad loser	sore loser
butyrocholinesterase	pseudocholinesterase
banjolin	banjo-mandolin
backspin	spinback
beat the tar out of	beat the stuffing out of
bet a dollar to a dime	bet a dollar to a doughnut
backstretch	back straight
bestestestestest	best
boronatrocalcite	ulexite
bar crawl	pub crawl
Brocken spectre	mountain spectre
biomimic	biomimetic
blood sibling	blood brother
billsticking	billposting
beauty heart radish	watermelon radish
basidiome	basidiocarp
blank sheet	blank canvas
banthine	methantheline
beginner's license	learner's permit
beta-lipoprotein	low-density lipoprotein
bypoll	by-election
borsholder	tithingman
boat-shaped abdomen	scaphoid abdomen
box standard	standard
boat shed	boathouse
blindered	blinkered
benzosulfimide	saccharin
bat for the other side	bat for the other team
biscarbamate	dicarbamate
booster cable	jumper cable
bisepoxide	diepoxide
be it what it would	regardless
bidispersed	bidisperse
barklouse	booklouse
bureaucratical	bureaucratic
bacteriovirus	bacteriophage
biosociology	sociobiology
backflash	flashback
bump-start	push-start
beach umbrella	parasol
buxotic	busty
baji	chiura
